play_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,td_player_name,td_player_id,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,extra_point_prob,two_point_conversion_prob,wp,home_wp,wpa,home_wp_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,passing_yards,receiver_player_id,receiver_player_name,receiving_yards,rusher_player_id,rusher_player_name,rushing_yards,lateral_receiver_player_id,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_id,lateral_rusher_player_name,lateral_rushing_yards,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,tackle_with_assist,tackle_with_assist_1_player_id,tackle_with_assist_1_player_name,tackle_with_assist_1_team,tackle_with_assist_2_player_id,tackle_with_assist_2_player_name,tackle_with_assist_2_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,sack_player_id,sack_player_name,half_sack_1_player_id,half_sack_1_player_name,half_sack_2_player_id,half_sack_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,safety_player_name,safety_player_id,season,cp,cpoe,series,series_success,series_result,order_sequence,start_time,time_of_day,stadium,weather,nfl_api_id,play_clock,play_deleted,play_type_nfl,special_teams_play,st_play_type,end_clock_time,end_yard_line,fixed_drive,fixed_drive_result,drive_real_start_time,drive_play_count,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_quarter_start,drive_quarter_end,drive_yards_penalized,drive_start_transition,drive_end_transition,drive_game_clock_start,drive_game_clock_end,drive_start_yard_line,drive_end_yard_line,drive_play_id_started,drive_play_id_ended,away_score,home_score,location,result,total,spread_line,total_line,div_game,roof,surface,temp,wind,home_coach,away_coach,stadium_id,game_stadium,aborted_play,success,passer,passer_jersey_number,rusher,rusher_jersey_number,receiver,receiver_jersey_number,pass,rush,first_down,special,play,passer_id,rusher_id,receiver_id,name,jersey_number,id,fantasy_player_name,fantasy_player_id,fantasy,fantasy_id,out_of_bounds,home_opening_kickoff,qb_epa
1,2023_21_DET_SF,SF,DET,POST,21,,,,,,2024-01-28,900.0,1800.0,3600.0,Half1,0,,0,1,,0,15:00,SF 35,0,,GAME,,,0,0,,0,0,0,,,,,,,,,,,3,3,,,,,,,,0,0,,,,,,,0.0,0.0,0.433207958936691,0.566792041063309,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2023,,,1,1,First down,1,"1/28/24, 18:41:17",,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,GAME_START,0,,,,1,Touchdown,,,,,,,,,,,,,,,,,,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,0.0,,,,,,,0,0,,0,0,,,,,,,,,,,0,0,0.0
39,2023_21_DET_SF,SF,DET,POST,21,DET,away,SF,SF,35.0,2024-01-28,900.0,1800.0,3600.0,Half1,0,1.0,0,1,,0,15:00,SF 35,0,75.0,"4-J.Moody kicks 65 yards from SF 35 to end zone, Touchback.",kickoff,0.0,0,0,0.0,0,0,0,,,,,,,,65.0,,,3,3,0.0,,,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433207958936691,0.566792041063309,0.0,0.566792041063309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Moody,00-0038562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,,,1,1,First down,39,"1/28/24, 18:41:17",2024-01-28T23:41:17.643Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,KICK_OFF,1,,2024-01-28T23:41:22.240Z,,1,Touchdown,2024-01-28T23:41:17.643Z,4.0,1:42,3.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,15:00,13:18,DET 25,SF 42,39.0,157.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,0.0,,,,,,,0,0,0.0,1,0,,,,,,,,,,,0,0,0.0
55,2023_21_DET_SF,SF,DET,POST,21,DET,away,SF,DET,75.0,2024-01-28,900.0,1800.0,3600.0,Half1,0,1.0,0,1,1.0,0,15:00,DET 25,10,75.0,(15:00) 5-D.Montgomery right end ran ob at DET 29 for 4 yards (54-F.Warner).,run,4.0,0,0,0.0,0,0,0,,,,,right,end,,,,,3,3,0.0,,,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433207958936691,0.566792041063309,-0.0107263028621674,0.577518343925476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0035685,D.Montgomery,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,,00-0034815,,F.Warner,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,,,1,1,First down,55,"1/28/24, 18:41:17",2024-01-28T23:42:00.187Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,RUSH,0,,2024-01-28T23:42:05.057Z,,1,Touchdown,2024-01-28T23:41:17.643Z,4.0,1:42,3.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,15:00,13:18,DET 25,SF 42,39.0,157.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,0.0,,,D.Montgomery,5.0,,,0,1,0.0,0,1,,00-0035685,,D.Montgomery,5.0,00-0035685,D.Montgomery,00-0035685,D.Montgomery,00-0035685,1,0,-0.0045218151062727
82,2023_21_DET_SF,SF,DET,POST,21,DET,away,SF,DET,71.0,2024-01-28,871.0,1771.0,3571.0,Half1,0,1.0,0,1,2.0,0,14:31,DET 29,6,75.0,(14:31) 5-D.Montgomery up the middle to DET 44 for 15 yards (27-J.Brown).,run,15.0,0,0,0.0,0,0,0,,,,,middle,,,,,,3,3,0.0,,,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422481656074524,0.577518343925476,0.0399453938007355,0.537572950124741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0035685,D.Montgomery,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,,00-0038554,,J.Brown,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,,,1,1,First down,82,"1/28/24, 18:41:17",2024-01-28T23:42:34.053Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,RUSH,0,,2024-01-28T23:42:39.423Z,,1,Touchdown,2024-01-28T23:41:17.643Z,4.0,1:42,3.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,15:00,13:18,DET 25,SF 42,39.0,157.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,1.0,,,D.Montgomery,5.0,,,0,1,1.0,0,1,,00-0035685,,D.Montgomery,5.0,00-0035685,D.Montgomery,00-0035685,D.Montgomery,00-0035685,0,0,1.31403705710545
104,2023_21_DET_SF,SF,DET,POST,21,DET,away,SF,DET,56.0,2024-01-28,837.0,1737.0,3537.0,Half1,0,1.0,0,1,1.0,0,13:57,DET 44,10,75.0,(13:57) 16-J.Goff pass short left to 87-S.LaPorta pushed ob at SF 42 for 14 yards (20-A.Thomas).,pass,14.0,0,0,1.0,0,0,0,short,left,1.0,13.0,,,,,,,3,3,0.0,,,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462427049875259,0.537572950124741,0.0176908373832703,0.51988211274147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00-0033106,J.Goff,14.0,00-0039065,S.LaPorta,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,,00-0037008,,A.Thomas,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,0.81541508436203,18.458491563797,2,1,First down,104,"1/28/24, 18:41:17",2024-01-28T23:43:08.153Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,PASS,0,,2024-01-28T23:43:14.193Z,,1,Touchdown,2024-01-28T23:41:17.643Z,4.0,1:42,3.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,15:00,13:18,DET 25,SF 42,39.0,157.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,1.0,J.Goff,16.0,,,S.LaPorta,87.0,1,0,1.0,0,1,00-0033106,,00-0039065,J.Goff,16.0,00-0033106,S.LaPorta,00-0039065,S.LaPorta,00-0039065,1,0,0.966885647037998
134,2023_21_DET_SF,SF,DET,POST,21,DET,away,SF,SF,42.0,2024-01-28,807.0,1707.0,3507.0,Half1,0,1.0,1,1,1.0,0,13:27,SF 42,10,75.0,"(13:27) (Shotgun) 9-J.Williams right end for 42 yards, TOUCHDOWN.",run,42.0,1,0,0.0,0,0,0,,,,,right,end,,,,,3,3,0.0,,DET,J.Williams,00-0037240,3.0,3.0,0,6,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.48011788725853,0.51988211274147,0.126064096442287,0.393818016299183,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0037240,J.Williams,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,,,3,1,Touchdown,134,"1/28/24, 18:41:17",2024-01-28T23:43:42.953Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,RUSH,0,,2024-01-28T23:43:52.663Z,,1,Touchdown,2024-01-28T23:41:17.643Z,4.0,1:42,3.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,15:00,13:18,DET 25,SF 42,39.0,157.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,1.0,,,J.Williams,9.0,,,0,1,1.0,0,1,,00-0037240,,J.Williams,9.0,00-0037240,J.Williams,00-0037240,J.Williams,00-0037240,0,0,3.95337674417533
157,2023_21_DET_SF,SF,DET,POST,21,DET,away,SF,SF,15.0,2024-01-28,798.0,1698.0,3498.0,Half1,0,1.0,1,1,,0,13:18,SF 15,0,75.0,"17-M.Badgley extra point is GOOD, Center-43-J.McQuaide, Holder-3-J.Fox.",extra_point,0.0,0,0,0.0,0,0,0,,,,,,,,33.0,good,,3,3,0.0,,,,,3.0,3.0,0,7,6.0,0.0,6.0,7.0,0.0,7.0,0.932426996892367,0.0,0.606181983700817,0.393818016299183,0.0012855782594034,0.39253243803978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.Badgley,00-0034084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,,,3,1,Touchdown,157,"1/28/24, 18:41:17",2024-01-28T23:44:35Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,XP_KICK,1,,,,1,Touchdown,2024-01-28T23:41:17.643Z,4.0,1:42,3.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,15:00,13:18,DET 25,SF 42,39.0,157.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,1.0,,,,,,,0,0,0.0,1,0,,,,,,,,,,,0,0,0.0675730031076331
172,2023_21_DET_SF,SF,DET,POST,21,SF,home,DET,DET,35.0,2024-01-28,798.0,1698.0,3498.0,Half1,0,2.0,0,1,,0,13:18,DET 35,0,45.0,"3-J.Fox kicks 65 yards from DET 35 to end zone, Touchback.",kickoff,0.0,0,0,0.0,0,0,0,,,,,,,,65.0,,,3,3,0.0,,,,,3.0,3.0,0,7,0.0,7.0,-7.0,0.0,7.0,-7.0,0.0,0.0,0.39253243803978,0.39253243803978,0.0,0.39253243803978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Fox,00-0035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,,,4,1,First down,172,"1/28/24, 18:41:17",2024-01-28T23:47:41.660Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,KICK_OFF,1,,2024-01-28T23:47:45.797Z,,2,Missed field goal,2024-01-28T23:47:41.660Z,12.0,5:24,3.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,MISSED_FG,13:18,07:54,SF 25,DET 30,172.0,469.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,0.0,,,,,,,0,0,0.0,1,0,,,,,,,,,,,0,0,0.0
195,2023_21_DET_SF,SF,DET,POST,21,SF,home,DET,SF,75.0,2024-01-28,798.0,1698.0,3498.0,Half1,0,2.0,0,1,1.0,0,13:18,SF 25,10,45.0,(13:18) 23-C.McCaffrey right guard to SF 26 for 1 yard (34-A.Anzalone).,run,1.0,0,0,0.0,0,0,0,,,,,right,guard,,,,,3,3,0.0,,,,,3.0,3.0,0,7,0.0,7.0,-7.0,0.0,7.0,-7.0,0.0,0.0,0.39253243803978,0.39253243803978,-0.0159702003002167,0.376562237739563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0033280,C.McCaffrey,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,,00-0033914,,A.Anzalone,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,,,4,1,First down,195,"1/28/24, 18:41:17",2024-01-28T23:48:29.660Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,RUSH,0,,2024-01-28T23:48:33.447Z,,2,Missed field goal,2024-01-28T23:47:41.660Z,12.0,5:24,3.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,MISSED_FG,13:18,07:54,SF 25,DET 30,172.0,469.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,0.0,,,C.McCaffrey,23.0,,,0,1,0.0,0,1,,00-0033280,,C.McCaffrey,23.0,00-0033280,C.McCaffrey,00-0033280,C.McCaffrey,00-0033280,0,0,-0.584414770361036
217,2023_21_DET_SF,SF,DET,POST,21,SF,home,DET,SF,74.0,2024-01-28,763.0,1663.0,3463.0,Half1,0,2.0,0,1,2.0,0,12:43,SF 26,9,45.0,(12:43) (Shotgun) 13-B.Purdy pass incomplete short left to 44-K.Juszczyk (97-A.Hutchinson).,pass,0.0,1,0,1.0,0,0,0,short,left,4.0,,,,,,,,3,3,0.0,,,,,3.0,3.0,0,7,0.0,7.0,-7.0,0.0,7.0,-7.0,0.0,0.0,0.376562237739563,0.376562237739563,-0.0225282907485962,0.354033946990967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0037834,B.Purdy,,00-0029892,K.Juszczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,00-0037236,A.Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,,0.0,0.0,0.0,0.0,,,2023,0.772582054138184,-77.2582054138184,4,1,First down,217,"1/28/24, 18:41:17",2024-01-28T23:49:04.377Z,Levi's® Stadium,"Cloudy Temp: 69° F, Humidity: 55%, Wind: NW 5 mph",0d08ffe4-b342-11ee-aec3-7d8f81bc70be,0,0,PASS,0,,2024-01-28T23:49:08.213Z,,2,Missed field goal,2024-01-28T23:47:41.660Z,12.0,5:24,3.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,MISSED_FG,13:18,07:54,SF 25,DET 30,172.0,469.0,31,34,Home,3,65,7.5,52.5,0,outdoors,grass,69.0,5.0,Kyle Shanahan,Dan Campbell,SFO01,Levi's Stadium,0,0.0,B.Purdy,13.0,,,K.Juszczyk,44.0,1,0,0.0,0,1,00-0037834,,00-0029892,B.Purdy,13.0,00-0037834,K.Juszczyk,00-0029892,K.Juszczyk,00-0029892,0,0,-0.852893557399511
